,TCGA.AB.2856.03A,TCGA.AB.2849.03A,TCGA.AB.2971.03A,TCGA.AB.2930.03A,TCGA.AB.2891.03A,TCGA.AB.2872.03A,TCGA.AB.2851.03A,TCGA.AB.3011.03A,TCGA.AB.2949.03B
ENSG00000170632.12,996,1005,851,1356,1063,655,931,606,1176
ENSG00000170633.15,1479,1448,1120,1901,1072,1380,1374,1129,1309
ENSG00000170634.11,257,317,331,424,332,240,305,287,468
ENSG00000170638.8,5669,987,1766,6129,4444,3369,3923,2883,5345
ENSG00000170647.3,8,241,7,4,13,9,1,5,2
ENSG00000170653.17,2277,2524,2898,3681,3101,2719,3698,2062,3391
ENSG00000170667.13,2,7,1,5,12,11,11,5,10
ENSG00000170677.5,262,519,377,648,303,398,411,386,859
ENSG00000170681.6,5,281,19,12,6,19,8,21,18
ENSG00000170683.5,0,4,0,0,0,0,0,0,0
ENSG00000170684.7,551,48,117,426,282,158,483,112,150
ENSG00000170688.4,0,1,0,0,0,0,0,0,1
ENSG00000170689.9,1,3,476,0,2,2,45,19,2
ENSG00000170703.14,100,273,40,118,2,0,32,58,222
ENSG00000170734.10,1253,1554,655,1815,1524,953,1030,974,1346
ENSG00000170743.15,7,14,27,2,4,15,10,1,8
ENSG00000170745.10,1,3,5,1,1,2,1,1,3
ENSG00000170748.6,0,2,2,0,2,0,0,0,1
ENSG00000170759.10,4275,6332,5017,7509,6069,3792,5859,4292,6591
ENSG00000170775.2,0,0,1,0,0,1,1,0,0
ENSG00000170776.18,8016,11214,15672,10657,17848,4379,20160,6133,10941
ENSG00000170777.10,0,4,1,0,0,0,0,2,0
ENSG00000170779.10,1064,639,433,1520,975,626,695,753,902
ENSG00000170782.3,6,1,2,0,3,1,15,0,1
ENSG00000170786.11,1,3,1,0,0,0,1,0,0
ENSG00000170788.12,0,3,1,0,0,0,0,1,1
ENSG00000170790.4,13,0,3,0,2,1,22,0,0
ENSG00000170791.16,868,498,559,1556,1029,541,717,419,1100
ENSG00000170801.8,42,439,78,1327,596,282,344,39,1649
ENSG00000170802.14,1080,2868,3531,2852,3111,1193,3397,2593,2507
ENSG00000170803.5,0,0,0,0,0,0,0,0,0
ENSG00000170807.11,11,61,78,5,65,94,50,176,40
ENSG00000170819.4,1,5,5,6,6,2,3,3,3
ENSG00000170820.10,1,1,0,0,0,0,1,2,0
ENSG00000170827.8,6,2,4,11,5,14,1,8,6
ENSG00000170832.11,1928,5163,3710,2491,2600,2859,3398,2544,2775
ENSG00000170835.13,127,67,108,343,161,228,88,291,45
ENSG00000170836.10,617,2174,502,946,882,488,717,690,710
ENSG00000170837.2,3,14,687,943,134,747,1336,867,1260
ENSG00000170846.14,522,570,376,647,344,861,224,584,531
ENSG00000170848.14,0,0,0,0,0,0,3,0,0
ENSG00000170852.9,1529,2396,1946,2360,1257,2131,2247,2304,2246
ENSG00000170854.16,744,498,532,1157,573,226,687,326,741
ENSG00000170855.3,879,455,456,696,514,318,442,410,876
ENSG00000170858.9,0,3,7,1,8,1,4,1,1
ENSG00000170860.3,1003,628,800,1056,800,495,695,560,1288
ENSG00000170871.10,1550,5025,1932,2340,1822,1855,2599,1530,2696
ENSG00000170873.17,750,397,1248,697,724,658,2813,327,3681
ENSG00000170876.7,5087,2194,2757,5296,3078,2144,4169,2594,4080
ENSG00000170881.4,1673,1917,1442,1914,1768,1100,2074,1934,2843
ENSG00000170889.12,26749,6184,11264,20843,17414,15292,17364,13150,29401
ENSG00000170890.12,1,15,0,12,1,6,2,4,33
ENSG00000170891.9,624,2304,328,267,2324,17913,454,27,1338
ENSG00000170892.9,994,357,559,830,444,406,1014,493,786
ENSG00000170893.3,39,6750,6,333,71,163,11,37,1303
ENSG00000170899.9,17,329,20,93,49,15,9,21,112
ENSG00000170903.9,503,1134,386,978,507,478,676,518,672
ENSG00000170906.14,877,398,490,831,447,547,545,432,486
ENSG00000170909.12,4199,99,822,2108,1199,1599,4713,8,517
ENSG00000170915.8,1492,1147,760,1061,663,363,2657,741,574
ENSG00000170917.12,234,682,235,368,85,111,209,218,282
ENSG00000170919.14,891,2409,1321,1496,746,1851,1080,1084,2041
ENSG00000170920.2,1,3,0,0,0,0,0,0,0
ENSG00000170921.13,278,9254,1758,681,1092,1809,1663,1114,1981
ENSG00000170923.2,0,0,1,1,0,0,0,0,0
ENSG00000170925.3,0,1,1,0,0,0,0,0,0
ENSG00000170927.13,1,12,1,2,0,2,1,1,2
ENSG00000170929.5,0,1,0,0,0,0,0,0,1
ENSG00000170935.6,0,3,0,0,0,0,0,0,1
ENSG00000170946.13,240,582,422,455,384,251,291,322,398
ENSG00000170948.3,1,2,1,1,0,0,0,0,0
ENSG00000170949.16,976,3668,1354,2243,611,1697,1224,1423,1721
ENSG00000170950.4,1,4,3,2,2,0,1,0,1
ENSG00000170953.2,0,1,0,0,0,0,0,0,0
ENSG00000170954.10,14,645,100,38,6,87,89,93,89
ENSG00000170955.9,6,3,147,0,3,18,12,3,10
ENSG00000170956.15,12,71,22,370,9,37,104,0,52
ENSG00000170959.13,4,14,3,4,1,1,3,1,0
ENSG00000170961.6,1,11,11,14,2,0,1,1,19
ENSG00000170962.11,456,1087,320,579,103,14,243,340,13
ENSG00000170965.8,0,3,0,1,4,1,0,0,1
ENSG00000170967.4,42,48,103,8,3,1,10,42,0
ENSG00000170983.3,0,1,1,0,1,0,0,0,0
ENSG00000170989.8,193,133,388,185,212,146,341,277,176
ENSG00000171004.16,0,26,3,0,2,2,0,1,3
ENSG00000171014.2,0,0,0,0,0,0,0,0,0
ENSG00000171016.10,2,18,12,6,10,6,3,6,3
ENSG00000171017.9,15,24,13,13,14,6,18,19,8
ENSG00000171033.11,15,481,228,7,301,17,21,119,178
ENSG00000171044.9,12,37,225,13,23,14,65,12,11
ENSG00000171045.13,932,648,420,885,465,419,781,634,1260
ENSG00000171049.8,138,43,190,64,40,19,976,2,162
ENSG00000171051.7,1310,96,1475,116,293,13,3167,6,1330
ENSG00000171053.8,0,1,1,0,1,3,0,0,0
ENSG00000171054.7,0,0,0,0,0,0,0,0,0
ENSG00000171055.13,958,868,1547,1577,910,1384,969,990,1584
ENSG00000171056.7,19,27,5,17,5,13,15,8,17
ENSG00000171060.9,2,2,2,1,1,4,1,3,0
ENSG00000171067.9,1426,262,355,854,1138,234,884,379,423
ENSG00000171084.14,51,80,35,101,75,30,25,53,55
ENSG00000171094.14,8,60,35,19,9,2,62,33,62
ENSG00000171097.12,436,308,217,1045,302,337,244,352,469
ENSG00000171100.13,911,1199,1128,1923,1139,1735,1191,864,1831
ENSG00000171101.12,687,2063,156,434,216,138,200,51,316
ENSG00000171102.13,0,3,0,0,0,1,1,1,0
ENSG00000171103.9,320,701,299,684,342,379,391,437,615
ENSG00000171105.12,2823,4560,3229,3441,6284,5280,2762,3938,3279
ENSG00000171109.17,1047,2268,1481,2244,1058,1691,1268,1437,2024
ENSG00000171115.3,628,93,519,261,881,33,2691,31,395
ENSG00000171116.7,2,3,0,0,0,6,3,3,2
ENSG00000171119.2,6,39,8,12,4,1,7,13,14
ENSG00000171121.15,42,169,224,131,95,301,99,82,132
ENSG00000171124.11,2,5,4,2,8,3,5,16,7
ENSG00000171126.7,0,41,0,1,0,2,0,0,3
ENSG00000171130.16,553,72,178,354,619,28,353,189,133
ENSG00000171132.12,600,262,944,1446,981,938,603,510,1785
ENSG00000171133.2,0,0,0,0,1,1,1,1,1
ENSG00000171135.12,1507,818,399,1392,868,662,898,594,1457
ENSG00000171136.6,7,7,3,6,32,0,10,5,8
ENSG00000171148.12,3212,958,1321,3221,2212,1462,2383,862,1646
ENSG00000171150.7,670,1051,1000,1188,820,1231,984,1000,1827
ENSG00000171155.7,794,588,437,910,732,541,583,309,566
ENSG00000171159.4,1922,407,513,1355,851,514,989,602,876
ENSG00000171160.16,136,11,32,150,5,42,28,11,27
ENSG00000171161.11,2142,800,732,2240,1324,854,1615,964,1517
ENSG00000171163.14,2257,1147,1247,3125,853,2069,1134,1730,1369
ENSG00000171169.8,487,140,213,462,363,231,471,288,262
ENSG00000171174.12,672,69,568,633,152,147,393,317,185
ENSG00000171180.1,0,0,0,1,0,1,4,0,4
ENSG00000171189.15,73,56,322,37,62,118,67,54,60
ENSG00000171195.9,0,0,0,0,0,0,0,0,0
ENSG00000171199.8,0,3,0,0,0,0,0,0,1
ENSG00000171201.9,0,1,0,0,0,0,0,0,0
ENSG00000171202.5,544,348,323,597,371,327,328,260,622
ENSG00000171204.11,733,690,606,1118,583,503,623,391,899
ENSG00000171206.12,3684,900,1800,2917,3446,2428,5527,1815,1852
ENSG00000171208.8,1124,25,839,1236,57,772,1089,43,1142
ENSG00000171209.3,0,2,0,0,0,0,1,0,0
ENSG00000171217.5,49,228,125,172,111,82,55,139,186
ENSG00000171219.8,172,73,175,423,74,189,148,240,449
ENSG00000171222.9,1141,187,367,713,792,508,797,544,639
ENSG00000171223.5,7928,1278,5196,4340,13626,2525,28529,6101,11649
ENSG00000171224.8,5,3,7,0,1,1,0,1,22
ENSG00000171227.6,5,30,33,0,6,19,5,23,3
ENSG00000171234.12,0,0,1,0,0,1,2,1,1
ENSG00000171236.9,1017,24,319,459,211,1303,844,173,183
ENSG00000171241.7,641,634,325,1201,1895,691,214,278,651
ENSG00000171243.7,0,8,11,0,6,4,9,4,5
ENSG00000171246.5,0,58,13,7,6,6,15,19,8
ENSG00000171262.10,923,1488,887,1377,809,484,413,610,1435
ENSG00000171291.7,771,4021,1415,3015,848,4578,678,1187,1934
ENSG00000171295.11,637,1700,877,966,528,1215,730,994,825
ENSG00000171298.11,8443,1947,2878,2746,4202,1838,11008,1021,1780
ENSG00000171302.15,1896,2024,952,2159,1719,1018,2134,1033,1207
ENSG00000171303.6,2,7,3,1,2,4,2,1,20
ENSG00000171307.17,1625,824,913,1759,1157,1265,1358,1314,1045
ENSG00000171310.9,6702,4643,3424,8887,9600,3438,4234,3546,10342
ENSG00000171311.11,862,605,476,913,560,634,699,634,704
ENSG00000171314.8,2697,420,978,1381,1159,827,1824,575,741
ENSG00000171316.10,214,259,3744,835,328,4229,1606,3646,1090
ENSG00000171320.13,190,623,187,570,628,275,85,243,662
ENSG00000171345.12,1,0,1,0,3,0,0,0,0
ENSG00000171346.12,1,2,5,2,0,1,4,2,0
ENSG00000171357.5,8,95,104,18,3,16,88,6,227
ENSG00000171360.3,0,0,0,0,0,0,0,1,0
ENSG00000171365.14,735,87,850,712,763,298,862,263,594
ENSG00000171368.11,438,303,121,111,249,116,141,230,118
ENSG00000171385.8,5,211,8,13,8,21,17,20,15
ENSG00000171388.11,8,150,4,4,4,19,1,4,7
ENSG00000171396.11,0,2,0,0,0,0,0,0,0
ENSG00000171401.13,0,1,0,4,2,3,0,6,8
ENSG00000171402.13,0,0,0,0,0,0,0,0,0
ENSG00000171403.8,0,3,1,1,2,0,1,0,1
ENSG00000171405.11,0,1,0,0,0,1,0,0,0
ENSG00000171408.12,261,32,59,527,116,11,170,15,85
ENSG00000171421.11,361,94,138,480,189,141,168,116,220
ENSG00000171425.8,979,333,219,813,521,572,664,362,1090
ENSG00000171428.12,185,174,134,273,243,105,227,74,122
ENSG00000171431.3,0,1,0,1,1,3,0,0,0
ENSG00000171433.10,6,26,3,11,2,7,15,5,6
ENSG00000171435.12,7,12,18,1,5,5,1,2,3
ENSG00000171443.6,536,76,144,376,297,257,487,154,261
ENSG00000171444.16,49,254,337,64,118,220,144,90,129
ENSG00000171446.6,0,0,1,0,0,0,0,0,0
ENSG00000171448.8,482,1038,647,1521,510,614,618,526,1594
ENSG00000171450.5,0,90,2,1,2,1,2,0,1
ENSG00000171451.13,4,100,49,1,23,7,4,116,15
ENSG00000171453.16,1177,651,729,1245,759,762,708,1503,878
ENSG00000171456.15,4306,7342,3976,6443,5812,9574,4146,5585,6232
ENSG00000171459.3,0,6,5,0,3,7,2,0,2
ENSG00000171462.13,161,143,140,169,273,184,230,239,70
ENSG00000171466.8,2518,5512,2557,4257,2691,5269,2341,2318,2893
ENSG00000171467.14,1345,4713,2338,1427,2968,1459,3170,1434,2069
ENSG00000171469.9,1006,1862,666,1689,1010,1005,1118,991,913
ENSG00000171475.12,2290,4125,2115,2794,2456,1908,2538,1693,2169
ENSG00000171476.20,210,84,119,601,2104,30,757,17,5026
ENSG00000171478.7,0,2,1,2,0,0,2,0,1
ENSG00000171481.3,0,1,1,2,0,1,0,1,1
ENSG00000171483.12,0,0,1,0,0,0,0,0,0
ENSG00000171484.4,0,0,0,0,0,0,0,0,0
ENSG00000171487.13,0,3,2,3,1,11,2,1,0
ENSG00000171488.13,2917,3496,4011,5000,5226,1367,4853,2605,3546
ENSG00000171489.9,2,2,2,0,1,1,1,5,2
ENSG00000171490.11,7435,9113,4202,8085,5073,3109,6056,4927,12510
ENSG00000171492.13,2267,3260,1839,2730,3320,1026,2729,1389,2901
ENSG00000171495.15,0,1,0,0,1,2,0,1,0
ENSG00000171496.3,1,8,11,5,5,15,1,3,3
ENSG00000171497.4,862,1329,466,1195,622,335,865,456,895
ENSG00000171501.8,32,4,3,4,0,4,0,5,0
ENSG00000171502.13,672,6353,505,3228,2379,177,988,1079,4239
ENSG00000171503.10,869,1408,658,1160,710,612,757,561,1021
ENSG00000171505.5,0,1,3,3,0,0,0,2,0
ENSG00000171509.14,243,16,9,173,110,7,71,206,158
ENSG00000171517.5,2,3,20,13,27,1,10,27,12
ENSG00000171522.5,1997,921,2098,3528,3213,338,2437,839,4758
ENSG00000171530.12,1214,931,810,1540,2080,1008,709,597,1586
ENSG00000171532.4,15,53,39,19,34,144,20,48,15
ENSG00000171533.10,3,11,6,3,2,8,4,7,2
ENSG00000171540.7,1,0,2,1,2,0,0,0,5
ENSG00000171551.10,0,355,2,1,2,2,1,2,2
ENSG00000171552.11,1912,2156,457,1273,1007,764,853,551,894
ENSG00000171557.15,0,2,0,0,0,0,0,0,0
ENSG00000171560.13,0,3,0,0,0,0,1,0,1
ENSG00000171561.3,0,0,0,0,0,2,0,0,0
ENSG00000171564.10,1,6,0,0,2,0,0,0,1
ENSG00000171566.10,1117,1847,799,1720,1139,669,955,796,1590
ENSG00000171570.9,4,0,2,3,3,1,3,1,0
ENSG00000171574.16,425,373,183,481,213,355,238,320,306
ENSG00000171587.13,0,3,2,1,0,0,3,1,0
ENSG00000171595.12,9,14,9,13,3,5,6,3,4
ENSG00000171596.6,37,32,87,507,25,280,150,12,272
ENSG00000171603.15,5916,3874,2461,8906,7105,2890,4192,2976,9653
ENSG00000171604.10,1659,2189,1010,2298,1840,1127,1931,1895,3550
ENSG00000171606.16,1271,1425,1515,1657,617,2239,1274,2084,2088
ENSG00000171608.14,9993,4418,6420,11015,8804,7847,10729,5144,7499
ENSG00000171611.8,3,12,3,76,13,9,9,1,10
ENSG00000171612.6,365,172,334,307,294,366,244,530,543
ENSG00000171617.12,533,892,466,434,808,242,724,34,449
ENSG00000171621.12,22,480,57,14,159,99,15,29,106
ENSG00000171631.13,282,19,59,133,67,267,48,33,34
ENSG00000171634.15,5915,28791,12081,16012,14198,10826,9380,11804,13379
ENSG00000171643.12,1364,842,293,2004,1463,426,1066,538,892
ENSG00000171649.10,199,968,159,408,228,103,103,160,455
ENSG00000171657.5,121,178,125,74,95,24,35,115,50
ENSG00000171658.7,67,190,46,83,41,5,88,71,111
ENSG00000171659.12,42,245,339,18,377,21,162,155,30
ENSG00000171671.6,1,0,0,1,0,0,0,0,0
ENSG00000171680.19,26,527,18,10,22,26,67,18,64
ENSG00000171681.11,2979,11610,6354,8891,5449,5144,6498,3923,6395
ENSG00000171695.9,45,9,20,92,23,33,58,33,51
ENSG00000171700.12,4110,367,1526,3056,2846,905,4829,1029,1452
ENSG00000171703.15,745,335,323,805,526,284,625,650,1245
ENSG00000171711.2,0,0,0,0,1,0,0,0,0
ENSG00000171714.10,1,16,284,3,2,119,8,68,16
ENSG00000171720.8,3029,622,1279,2922,2157,1101,1593,933,2338
ENSG00000171722.10,1,19,3,0,4,16,0,1,4
ENSG00000171723.14,440,47,422,21,578,738,185,889,649
ENSG00000171724.2,8,162,32,12,0,4,24,232,0
ENSG00000171729.12,317,337,65,224,4,1,507,29,359
ENSG00000171735.17,625,1029,509,741,426,406,383,485,770
ENSG00000171747.7,63,77,51,85,28,118,65,52,69
ENSG00000171757.14,139,562,203,679,122,238,166,144,279
ENSG00000171759.7,0,4,1,0,2,0,0,2,0
ENSG00000171763.16,266,387,338,499,271,206,278,194,254
ENSG00000171766.14,19,90,278,848,1028,208,34,66,1143
ENSG00000171772.14,0,5,2,2,1,6,3,7,2
ENSG00000171773.2,0,12,1,7,4,5,0,6,5
ENSG00000171777.14,4692,553,2773,4237,2946,291,8019,2395,1880
ENSG00000171786.5,31,17,23,36,47,44,62,64,22
ENSG00000171790.14,149,232,273,260,341,456,170,644,223
ENSG00000171791.11,1445,10897,1312,5666,1940,894,965,1951,3551
ENSG00000171792.9,1049,864,557,1223,498,586,404,469,906
ENSG00000171793.12,1815,1302,1144,2171,2044,1056,942,1853,1861
ENSG00000171794.3,110,4,1,150,8,1,22,0,2
ENSG00000171798.16,21,231,6,120,63,5,22,1,7
ENSG00000171804.8,4,7,9,1,2,5,6,2,7
ENSG00000171806.10,159,269,104,175,90,101,145,95,164
ENSG00000171811.11,3,824,7,127,37,18,3,35,126
ENSG00000171812.9,50,24,79,256,224,51,106,58,1219
ENSG00000171813.12,1024,337,337,1165,463,316,1325,574,819
ENSG00000171815.5,1,7,0,1,5,5,1,1,2
ENSG00000171817.15,45,304,50,131,43,51,65,52,85
ENSG00000171819.4,16,88,92,60,83,96,66,185,68
ENSG00000171823.6,760,377,342,955,380,293,868,687,746
ENSG00000171824.12,3390,3157,2095,4119,3116,2342,2717,2584,3897
ENSG00000171827.9,173,916,205,348,321,352,248,313,325
ENSG00000171840.10,275,102,195,270,163,331,397,278,226
ENSG00000171843.14,306,2018,163,191,540,42,49,93,1500
ENSG00000171847.9,59,15,36,22,4,20,35,15,8
ENSG00000171848.12,1741,1935,855,2923,4439,2710,592,1210,3014
ENSG00000171853.14,2091,1857,1658,2671,1898,2016,2600,2257,2243
ENSG00000171855.6,1,6,5,4,0,1,3,1,4
ENSG00000171858.16,10795,3176,3718,13347,6414,6351,5316,4926,16047
ENSG00000171860.4,1084,230,1466,756,604,155,5857,395,258
ENSG00000171861.9,513,124,159,498,310,202,288,229,358
ENSG00000171862.8,4718,14025,7233,6435,11201,3715,7201,5853,9069
ENSG00000171863.11,16220,4190,6338,14479,9141,7596,7463,6841,20105
ENSG00000171864.4,1,4,3,0,2,5,8,2,5
ENSG00000171865.8,501,469,276,649,470,279,385,261,616
ENSG00000171867.15,2411,2061,2144,3050,2314,511,3841,946,2459
ENSG00000171872.4,0,6,2,2,3,5,2,3,0
ENSG00000171873.7,4,17,19,5,6,39,8,12,7
ENSG00000171877.18,38,474,258,202,396,288,72,471,156
ENSG00000171885.12,1,0,8,3,0,8,2,4,0
ENSG00000171889.3,0,0,0,0,1,0,0,0,0
ENSG00000171903.15,110,55,60,158,1,102,9,18,2
ENSG00000171914.13,180,181,252,120,310,147,122,209,56
ENSG00000171916.15,32,35,23,26,11,17,35,11,7
ENSG00000171928.12,364,289,336,800,268,331,460,306,629
ENSG00000171931.11,1,10,4,5,4,1,4,3,3
ENSG00000171936.1,0,0,0,0,1,0,0,0,0
ENSG00000171940.12,1014,2166,2409,3674,2465,1288,3287,908,2469
ENSG00000171942.4,0,0,0,1,0,1,0,0,0
ENSG00000171943.10,306,234,505,266,396,125,339,139,244
ENSG00000171944.1,0,1,0,0,0,1,0,0,0
ENSG00000171951.4,13,8,26,24,3,4,5,10,0
ENSG00000171953.14,966,481,818,1306,854,765,959,1163,2026
ENSG00000171954.11,10,26,16,41,6,6,34,1,38
ENSG00000171956.6,0,24,3,1,1,0,1,0,2
ENSG00000171960.9,1092,545,562,1354,639,682,620,594,1008
ENSG00000171962.16,416,268,496,824,403,635,555,1021,1207
ENSG00000171970.11,154,196,113,373,25,285,98,107,212
ENSG00000171984.13,194,133,161,245,184,156,207,125,188
ENSG00000171987.1,0,1,1,0,0,1,1,1,1
ENSG00000171988.16,1811,8144,9509,5716,7789,3970,7139,5267,10829
ENSG00000171989.5,1,3,7,8,13,1,14,1,20
ENSG00000171992.11,83,59,101,77,34,83,118,102,56
ENSG00000171999.7,20,4,71,6,31,15,135,2,10
ENSG00000172000.6,4,13,8,18,3,12,9,4,3
ENSG00000172005.9,112,64,163,17,48,28,69,48,40
ENSG00000172006.10,279,501,176,300,190,293,171,249,386
ENSG00000172007.5,366,851,461,635,712,289,616,508,737
ENSG00000172009.13,2559,764,710,2690,1595,1221,932,1210,1409
ENSG00000172014.12,0,204,0,8,0,34,2,18,33
ENSG00000172016.14,0,0,0,0,0,0,0,0,0
ENSG00000172020.11,0,3,0,1,0,1,0,0,0
ENSG00000172023.6,0,0,0,0,0,0,1,0,0
ENSG00000172031.6,7,3,0,0,3,1,1,2,7
ENSG00000172037.12,1814,67,1146,57,15,121,1009,60,4841
ENSG00000172046.17,3983,2155,2232,4928,2730,2683,3632,2588,3445
ENSG00000172053.13,11839,2979,3843,11390,8279,5127,6595,4427,10912
ENSG00000172057.8,1004,1070,407,845,751,1093,589,442,1139
ENSG00000172058.14,5,10,5,8,4,10,10,5,3
ENSG00000172059.9,469,74,1862,377,51,637,2850,64,3904
ENSG00000172061.8,0,3,3,0,3,4,0,2,1
ENSG00000172062.15,114,135,115,174,274,280,125,116,134
ENSG00000172071.10,544,1629,881,971,1127,1106,717,703,1440
ENSG00000172073.3,0,3,0,0,1,0,0,0,1
ENSG00000172081.12,9030,2180,3846,5254,4203,1863,12684,5226,2810
ENSG00000172086.7,895,1074,832,1357,529,832,1225,625,1186
ENSG00000172113.7,834,610,389,1131,546,580,610,417,750
ENSG00000172115.7,2419,1421,1655,2748,1183,1126,1842,1420,3134
ENSG00000172116.20,59,50,66,45,34,24,36,68,45
ENSG00000172123.11,630,550,544,415,177,951,862,154,141
ENSG00000172137.17,0,2,1,1,0,0,4,3,1
ENSG00000172139.13,1,11,45,1,3,5,6,25,1
ENSG00000172146.1,0,0,0,0,0,0,0,1,0
ENSG00000172148.2,0,0,0,0,0,0,1,0,0
ENSG00000172150.4,0,2,3,0,0,0,0,0,0
ENSG00000172154.7,0,1,0,0,0,0,0,0,0
ENSG00000172155.9,0,0,0,0,0,0,0,0,0
ENSG00000172156.3,1,0,0,1,1,0,0,0,1
ENSG00000172159.14,376,70,194,589,57,591,651,67,91
ENSG00000172164.12,2813,2011,3832,4736,2570,3710,3996,2343,3986
ENSG00000172167.6,204,752,452,723,522,499,217,484,580
ENSG00000172171.9,295,758,363,692,314,375,360,318,541
ENSG00000172172.6,704,496,315,830,474,301,451,273,802
ENSG00000172175.11,726,2144,1700,1513,1881,426,2084,770,1304
ENSG00000172179.10,0,2,2,4,0,0,2,0,6
ENSG00000172183.13,284,516,397,326,976,280,504,251,1549
ENSG00000172186.7,1,2,1,3,1,0,0,2,0
ENSG00000172188.4,0,0,0,0,0,0,1,0,0
ENSG00000172197.10,507,1299,601,930,528,428,964,866,1229
ENSG00000172199.1,0,1,0,0,0,0,0,0,0
ENSG00000172201.9,2,7,4,0,3,17,0,2,2
ENSG00000172208.5,0,0,0,0,0,0,0,0,0
ENSG00000172209.5,7,36,190,23,16,73,20,110,27
ENSG00000172215.5,25,154,240,120,61,104,86,181,120
ENSG00000172216.5,1674,93,1158,890,1421,3571,4639,383,828
ENSG00000172232.8,29606,48,8907,26136,3430,89362,4974,8754,5120
ENSG00000172236.15,292,164,98,358,27,297,884,433,1283
ENSG00000172238.4,0,0,0,0,0,2,2,0,1
ENSG00000172239.12,602,1107,732,1167,644,390,630,705,1259
ENSG00000172243.16,2069,486,3279,432,452,51,4313,8,1432
ENSG00000172244.7,101,316,165,384,232,296,127,215,262
ENSG00000172247.3,2639,2146,622,8670,3519,474,246,1052,1894
ENSG00000172250.13,68,37,21,79,58,67,54,75,78
ENSG00000172260.12,1789,475,5693,2315,141,32,252,2768,1931
ENSG00000172262.10,1725,3330,2192,3057,2126,2162,1883,2255,3021
ENSG00000172264.15,8,27,13,65,11,101,13,47,172
ENSG00000172269.15,2305,842,1120,2595,2160,1510,1527,1012,1494
ENSG00000172270.17,12620,3859,4392,6735,5024,12726,9273,4763,4830
ENSG00000172273.11,1128,1148,674,1596,1059,925,974,1028,1303
ENSG00000172283.10,0,0,0,0,0,0,0,0,0
ENSG00000172288.7,0,0,0,0,0,0,0,0,0
ENSG00000172289.2,0,0,0,2,0,0,0,0,0
ENSG00000172292.13,1068,5607,2536,4272,3518,3105,2087,2335,4434
ENSG00000172294.7,0,0,0,0,0,1,0,0,1
ENSG00000172296.11,30,1961,769,20,214,551,276,607,483
ENSG00000172297.7,0,0,0,0,0,0,0,0,0
ENSG00000172301.9,472,329,163,583,285,268,233,202,446
ENSG00000172315.5,735,1135,406,1187,474,435,563,329,497
ENSG00000172318.5,1,4,17,1,11,3,4,6,7
ENSG00000172320.2,0,3,0,0,0,0,0,0,0
ENSG00000172322.12,8438,1172,4275,14197,902,3774,6715,1470,2059
ENSG00000172324.4,0,2,0,0,1,0,0,0,0
ENSG00000172331.10,429,2729,447,380,255,223,302,256,475
ENSG00000172336.4,396,95,137,424,324,144,206,169,220
ENSG00000172339.9,123,213,85,138,145,99,49,62,82
ENSG00000172340.13,1298,96,821,29,82,321,927,250,523
ENSG00000172342.5,0,0,0,0,0,0,0,0,0
ENSG00000172345.12,78,219,66,115,110,75,58,67,258
ENSG00000172346.13,2,5,3,8,8,1,10,6,11
ENSG00000172348.13,1,0,10,1,3,8,2,1,2
ENSG00000172349.15,3919,2665,1582,3863,2562,1202,5423,1370,4331
ENSG00000172350.8,4,3,1,0,0,3,0,1,0
ENSG00000172352.5,0,0,0,0,0,0,0,0,0
ENSG00000172354.8,6262,1212,2574,3842,5907,2520,7341,2385,2990
ENSG00000172361.5,20,23,40,28,26,45,31,29,32
ENSG00000172362.2,0,1,3,0,0,0,0,1,0
ENSG00000172365.2,0,2,0,1,2,1,2,0,0
ENSG00000172366.18,1336,328,514,1238,472,1749,892,601,613
ENSG00000172367.14,16,23,19,21,30,59,60,112,37
ENSG00000172375.11,1781,830,880,1864,2035,829,2377,655,835
ENSG00000172377.1,0,0,0,0,0,0,0,0,0
ENSG00000172379.17,1,5,5,3,3,0,0,5,11
ENSG00000172380.5,7,60,7,1,4,56,2,11,13
ENSG00000172381.4,0,0,0,0,0,0,0,0,0
ENSG00000172382.8,42,53,48,105,86,165,70,180,48
ENSG00000172399.5,4,48,9,6,2,4,2,1,10
ENSG00000172403.9,33,347,70,3,39,118,20,36,121
ENSG00000172404.4,14,98,55,38,25,38,22,40,60
ENSG00000172409.5,358,210,252,387,331,191,319,312,350
ENSG00000172410.4,1,4,2,0,5,9,1,0,5
ENSG00000172421.6,0,2,1,0,0,0,0,0,0
ENSG00000172425.9,16,61,35,40,72,83,72,85,65
ENSG00000172426.14,46,70,75,59,60,73,117,143,56
ENSG00000172428.9,737,153,229,429,322,242,481,240,394
ENSG00000172432.17,3811,2179,2150,4975,2842,3133,3183,2669,2803
ENSG00000172456.15,220,168,238,179,184,366,128,103,165
ENSG00000172457.5,0,0,0,0,0,0,0,0,0
ENSG00000172458.4,39,15,21,61,48,48,13,57,46
ENSG00000172459.3,0,0,0,0,0,0,0,0,0
ENSG00000172460.13,42,2,17,50,1,14,8,12,12
ENSG00000172461.9,0,2,1,0,0,0,0,0,0
ENSG00000172464.2,1,4,0,0,0,0,0,0,0
ENSG00000172465.12,342,301,267,412,366,224,281,271,467
ENSG00000172466.14,1702,5867,2224,4531,2107,2167,2719,1782,3971
ENSG00000172468.12,0,1,0,1,0,0,0,0,0
